year;title;studios;producers;winner
1976;Movie 079;Studio NN;Producer NN;yes
2016;Movie 080;Studio NN;Producer NN;yes
1977;Movie 081;Studio OO;Producer OO;yes
2017;Movie 082;Studio OO;Producer OO;yes
1979;Movie 083;Studio PP;Producer PP;yes
2019;Movie 084;Studio PP;Producer PP;yes
1981;Movie 085;Studio QQ;Producer QQ;yes
2021;Movie 086;Studio QQ;Producer QQ;yes
1970;Movie 087;Studio RR;Producer RR;yes
1971;Movie 088;Studio RR;Producer RR;yes
1972;Movie 089;Studio SS;Producer SS;yes
1973;Movie 090;Studio SS;Producer SS;yes
1974;Movie 091;Studio TT;Producer TT;yes
1975;Movie 092;Studio TT;Producer TT;yes
1976;Movie 093;Studio UU;Producer UU;yes
1977;Movie 094;Studio UU;Producer UU;yes
1978;Movie 095;Studio VV;Producer VV;yes
1979;Movie 096;Studio VV;Producer VV;yes
1980;Movie 097;Studio WW;Producer WW;yes
1981;Movie 098;Studio WW;Producer WW;yes
1982;Movie 099;Studio XX;Producer XX;yes
1983;Movie 100;Studio XX;Producer XX;yes
1984;Movie 101;Studio YY;Producer YY;yes
1985;Movie 102;Studio YY;Producer YY;yes
1986;Movie 103;Studio ZZ;Producer ZZ;yes
1987;Movie 104;Studio ZZ;Producer ZZ;yes
1988;Movie 105;Studio AAA;Producer AAA;yes
1989;Movie 106;Studio AAA;Producer AAA;yes
1990;Movie 107;Studio BBB;Producer BBB;yes
1991;Movie 108;Studio BBB;Producer BBB;yes
1992;Movie 109;Studio CCC;Producer CCC;yes
1993;Movie 110;Studio CCC;Producer CCC;yes
1994;Movie 111;Studio DDD;Producer DDD;yes
1995;Movie 112;Studio DDD;Producer DDD;yes
1996;Movie 113;Studio EEE;Producer EEE;yes
1997;Movie 114;Studio EEE;Producer EEE;yes
1998;Movie 115;Studio FFF;Producer FFF;yes
1999;Movie 116;Studio FFF;Producer FFF;yes
2000;Movie 117;Studio GGG;Producer GGG;yes
2001;Movie 118;Studio GGG;Producer GGG;yes
2002;Movie 119;Studio HHH;Producer HHH;yes
2003;Movie 120;Studio HHH;Producer HHH;yes
2004;Movie 121;Studio III;Producer III;yes
2005;Movie 122;Studio III;Producer III;yes
2006;Movie 123;Studio JJJ;Producer JJJ;yes
2007;Movie 124;Studio JJJ;Producer JJJ;yes
2008;Movie 125;Studio KKK;Producer KKK;yes
2009;Movie 126;Studio KKK;Producer KKK;yes
2010;Movie 127;Studio LLL;Producer LLL;yes
2011;Movie 128;Studio LLL;Producer LLL;yes
2012;Movie 129;Studio MMM;Producer MMM;yes
2013;Movie 130;Studio MMM;Producer MMM;yes
2014;Movie 131;Studio NNN;Producer NNN;yes
2015;Movie 132;Studio NNN;Producer NNN;yes
2016;Movie 133;Studio OOO;Producer OOO;yes
2017;Movie 134;Studio OOO;Producer OOO;yes
2018;Movie 135;Studio PPP;Producer PPP;yes
2019;Movie 136;Studio PPP;Producer PPP;yes
2020;Movie 137;Studio QQQ;Producer QQQ;yes
2021;Movie 138;Studio QQQ;Producer QQQ;yes
1970;Movie 139;Studio RRR;Producer RRR;yes
2020;Movie 140;Studio RRR;Producer RRR;yes
1975;Movie 141;Studio SSS;Producer SSS;yes
2015;Movie 142;Studio SSS;Producer SSS;yes
1980;Movie 143;Studio TTT;Producer TTT;yes
2010;Movie 144;Studio TTT;Producer TTT;yes
1985;Movie 145;Studio UUU;Producer UUU;yes
2005;Movie 146;Studio UUU;Producer UUU;yes
1990;Movie 147;Studio VVV;Producer VVV;yes
2000;Movie 148;Studio VVV;Producer VVV;yes
1995;Movie 149;Studio WWW;Producer WWW;yes
1996;Movie 150;Studio WWW;Producer WWW;yes
